year,category,nominee,workers,winner
2010,Best Country Song,White Horse,"Liz Rose (Songwriter), Taylor Swift (Songwriter)",True
2010,Best Country Song,I Run to You.,"Tom Douglas (Songwriter), Dave Haywood (Songwriter), Charles Kelley (Songwriter), Hillary Scott (Songwriter)",False
2010,Best Gospel Song,God In Me,"Kierra 'Kiki' Sheard (artist), Mary Mary (artist), Warryn Campbell (songwriter), Erica Campbell (songwriter), Trecina Campbell (songwriter)",True
2010,Best R&B Song,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), Kuk Harrell (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter)",True
2010,Best Rap Song,Run This Town.,"Jeff Bhasker (Songwriter), Jay-Z (Songwriter), Rihanna (Songwriter), Kanye West (Songwriter), No I.D. (Songwriter)",True
2010,Best Rap Song,Day N Nite.,"Dot Da Genius (Songwriter), Kid Cudi (Songwriter)",False
2010,Best Rap Song,Dead and Gone (Shared with songwriter Robin Tadross).,"T.I. (Songwriter), Justin Timberlake (Songwriter)",False
2010,Best Rock Song,Use Somebody,"Kings of Leon (artist), Nathan Followill (songwriter), Caleb Followill (songwriter), Jared Followill (songwriter), Matthew Followill (songwriter)",True
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Jai Ho.,Slumdog Millionaire,True
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",The Climb.,Hannah Montana: The Movie,False
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Decode.,Twilight,False
2010,Song of the Year,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter), Kuk Harrell (Songwriter)",True
2010,Song of the Year,Poker Face.,"Lady Gaga, RedOne",False
2010,Song of the Year,Pretty Wings (Songwriters: Hod David and Musze).,,False
2011,Best Country Song,Need You Now.,"Hillary Scott (Songwriter), Josh Kear (Songwriter), Dave Haywood (Songwriter), Charles Kelley (Songwriter)",True
2011,Best Country Song,I'd Love to Be Your Last.,"Rivers Rutherford (Songwriter), Annie Tate (Songwriter), Sam Tate (Songwriter)",False
2011,Best Country Song,Free.,Zac Brown (Songwriter),False
2011,Best Gospel Song,It's What I Do,"Lalah Hathaway (artist), Jerry Peters (songwriter), Kirk Whalum (songwriter/artist)",True
2011,Best R&B Song,Shine.,John Legend (Songwriter),True
2011,Best Rap Song,Empire State Of Mind,"Jay-Z (songwriter/artist), Angela Hunte (songwriter), Alicia Keys (songwriter/artist), Janet Sewell (songwriter), Alexander Shuckburgh (songwriter)",True
2011,Best Rock Song,Angry World.,Neil Young (Songwriter),True
2011,Best Rock Song,Radioactive.,"Kings of Leon (Songwriters), Caleb Followill (Songwriter), Jared Followill (Songwriter), Matthew Followill (Songwriter), Nathan Followill (Songwriter)",False
