year,category,nominee,workers,winner
2010,Best Country Song,White Horse,"Liz Rose (Songwriter), Taylor Swift (Songwriter)",t
2010,Best Country Song,I Run to You.,"Tom Douglas (Songwriter), Dave Haywood (Songwriter), Charles Kelley (Songwriter), Hillary Scott (Songwriter)",f
2010,Best Gospel Song,God In Me,"Kierra ''Kiki'' Sheard (artist), Mary Mary (artist), Warryn Campbell (songwriter), Erica Campbell (songwriter), Trecina Campbell (songwriter)",t
2010,Best R&B Song,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), Kuk Harrell (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter)",t
2010,Best Rap Song,Run This Town.,"Jeff Bhasker (Songwriter), Jay-Z (Songwriter), Rihanna (Songwriter), Kanye West (Songwriter), No I.D. (Songwriter)",t
2010,Best Rap Song,Day N Nite.,"Dot Da Genius (Songwriter), Kid Cudi (Songwriter)",f
2010,Best Rap Song,Dead and Gone (Shared with songwriter Robin Tadross).,"T.I. (Songwriter), Justin Timberlake (Songwriter)",f
2010,Best Rock Song,Use Somebody,"Kings of Leon (artist), Nathan Followill (songwriter), Caleb Followill (songwriter), Jared Followill (songwriter), Matthew Followill (songwriter)",t
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Jai Ho.,Slumdog Millionaire,t
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",The Climb.,Hannah Montana: The Movie,f
2010,"Best Song Written for Motion Picture, Television or Other Visual Media",Decode.,Twilight,f
2010,Song of the Year,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter), Kuk Harrell (Songwriter)",t
2010,Song of the Year,Poker Face.,"Lady Gaga, RedOne",f
2010,Song of the Year,Pretty Wings (Songwriters: Hod David and Musze).,,f
2011,Best Country Song,Need You Now.,"Hillary Scott (Songwriter), Josh Kear (Songwriter), Dave Haywood (Songwriter), Charles Kelley (Songwriter)",t
2011,Best Country Song,I'd Love to Be Your Last.,"Rivers Rutherford (Songwriter), Annie Tate (Songwriter), Sam Tate (Songwriter)",f
2011,Best Country Song,Free.,Zac Brown (Songwriter),f
2011,Best Gospel Song,It's What I Do,"Lalah Hathaway (artist), Jerry Peters (songwriter), Kirk Whalum (songwriter/artist)",t
2011,Best R&B Song,Shine.,John Legend (Songwriter),t
2011,Best Rap Song,Empire State Of Mind,"Jay-Z (songwriter/artist), Angela Hunte (songwriter), Alicia Keys (songwriter/artist), Janet Sewell (songwriter), Alexander Shuckburgh (songwriter)",t
2011,Best Rock Song,Angry World.,Neil Young (Songwriter),t
2011,Best Rock Song,Radioactive.,"Kings of Leon (Songwriters), Caleb Followill (Songwriter), Jared Followill (Songwriter), Matthew Followill (Songwriter), Nathan Followill (Songwriter)",f
2011,Best Rock Song,Little Lion Man.,"Mumford & Sons (Songwriters), Ted Dwane (Songwriter), Ben Lovett (Songwriter), ''Country'' Winston Marshall (Songwriter), Marcus Mumford (Songwriter)",f
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",The Weary Kind.,Crazy Heart,t
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",Down in New Orleans.,The Princess and the Frog,f
2011,"Best Song Written for Motion Picture, Television or Other Visual Media",Kiss Like Your Kiss.,True Blood,f
2011,Song of the Year,Need You Now.,"Hillary Scott (Songwriter), Charles Kelley (Songwriter), Dave Haywood (Songwriter), Josh Kear",t
2011,Song of the Year,Fuck You.,"CeeLo Green (Songwriter), Philip Lawrence (Songwriter), Bruno Mars (Songwriter)",f
2011,Song of the Year,The House That Built Me.,"Tom Douglas (Songwriter), Allen Shamblin (Songwriter)",f
2012,Best Contemporary Christian Music Song,Blessings,Laura Story (songwriter),t
2012,Best Country Song,Mean.,Taylor Swift (Songwriter),t
2012,Best Gospel Song,Hello Fear,Kirk Franklin (songwriter),t
